checkstyle/checkstyle#20351: 7 chunks, 0 comments, 0 parse errors
checkstyle/checkstyle#20362: 7 chunks, 0 comments, 0 parse errors
checkstyle/checkstyle#20407: 3 chunks, 0 comments, 0 parse errors
checkstyle/checkstyle#20537: 11 chunks, 6 comments, 0 parse errors
checkstyle/checkstyle#20554: 6 chunks, 0 comments, 0 parse errors
checkstyle/checkstyle#20600: 37 chunks, 12 comments, 0 parse errors
checkstyle/checkstyle#20604: 5 chunks, 0 comments, 0 parse errors
checkstyle/checkstyle#20717: 6 chunks, 0 comments, 0 parse errors
checkstyle/checkstyle#20752: 9 chunks, 1 comments, 0 parse errors
checkstyle/checkstyle#21086: 28 chunks, 1 comments, 0 parse errors
junit-team/junit5#4609: 48 chunks, 6 comments, 0 parse errors
junit-team/junit5#4751: 18 chunks, 2 comments, 0 parse errors
junit-team/junit5#4761: 5 chunks, 1 comments, 0 parse errors
junit-team/junit5#4913: 4 chunks, 4 comments, 0 parse errors
junit-team/junit5#5042: 25 chunks, 10 comments, 0 parse errors
junit-team/junit5#5060: 37 chunks, 7 comments, 0 parse errors
junit-team/junit5#5135: 10 chunks, 0 comments, 0 parse errors
junit-team/junit5#5379: 48 chunks, 1 comments, 0 parse errors
junit-team/junit5#5424: 26 chunks, 5 comments, 0 parse errors
junit-team/junit5#5708: 4 chunks, 0 comments, 0 parse errors
mockito/mockito#2442: 2 chunks, 0 comments, 0 parse errors
mockito/mockito#2603: 2 chunks, 3 comments, 0 parse errors
mockito/mockito#2650: 15 chunks, 4 comments, 0 parse errors
mockito/mockito#2659: 10 chunks, 3 comments, 0 parse errors
mockito/mockito#2807: 22 chunks, 4 comments, 0 parse errors
mockito/mockito#2842: 6 chunks, 1 comments, 0 parse errors
mockito/mockito#2883: 1 chunks, 1 comments, 0 parse errors
mockito/mockito#3097: 4 chunks, 1 comments, 0 parse errors
mockito/mockito#3129: 6 chunks, 1 comments, 0 parse errors
mockito/mockito#3551: 2 chunks, 2 comments, 0 parse errors
Total: 30 PRs reviewed, 0 excluded, 76 comments, 0 parse errors.
