judgment_id,arm,file,model_line,human_verdict,human_notes
claude-code-subagent__opus__mockito__mockito__2659__unmatched_model__4,opus,src/main/java/org/mockito/internal/configuration/MockAnnotationProcessor.java,52,,
claude-code-subagent__opus__mockito__mockito__3097__unmatched_model__5,opus,src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsOptionalMocksTest.java,71,,
anthropic__claude-sonnet-5__checkstyle__checkstyle__20537__unmatched_model__2,sonnet,src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/UnusedLocalVariableCheck.java,452,,
claude-code-subagent__opus__checkstyle__checkstyle__20537__unmatched_model__4,opus,src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/UnusedLocalVariableCheck.java,1104,,
claude-code-subagent__opus__checkstyle__checkstyle__20554__unmatched_model__8,opus,src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/todocomment/Example3.java,52,,
anthropic__claude-sonnet-5__checkstyle__checkstyle__21086__unmatched_model__0,sonnet,src/main/resources/com/puppycrawl/tools/checkstyle/checks/javadoc/messages_pt.properties,25,,
claude-code-subagent__opus__junit-team__junit5__5379__unmatched_model__6,opus,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/config/CachingJupiterConfiguration.java,124,,
claude-code-subagent__opus__checkstyle__checkstyle__20717__unmatched_model__2,opus,src/test/java/com/puppycrawl/tools/checkstyle/checks/design/InnerTypeLastCheckTest.java,167,,
claude-code-subagent__opus__mockito__mockito__2807__unmatched_model__4,opus,src/main/java/org/mockito/ArgumentMatchers.java,786,,
claude-code-subagent__opus__junit-team__junit5__5042__unmatched_model__24,opus,platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/JUnitStartTests.java,106,,
claude-code-subagent__opus__checkstyle__checkstyle__20604__unmatched_model__1,opus,src/test/java/com/puppycrawl/tools/checkstyle/internal/XdocsExamplesAstConsistencyTest.java,193,,
claude-code-subagent__opus__checkstyle__checkstyle__20600__unmatched_model__8,opus,src/site/xdoc/checks/misc/multilinecommentleadingasteriskpresence.xml,43,,
claude-code-subagent__opus__mockito__mockito__2603__unmatched_model__1,opus,subprojects/junit-jupiter/src/test/java/org/mockitousage/InjectMocksTest.java,35,,
