judgment_id,run,kind,repo,pr_number,pr_url,file,human_line,human_comment,human_url,model_line,model_category,model_severity,model_comment,pipeline_verdict,judge_reason,human_verdict,human_notes,model_verdict,model_confidence,model_reason
claude-code-subagent__opus__junit-team__junit5__4913__match__0,runs/subset30/claude-opus/,match,junit-team/junit5,4913,https://github.com/junit-team/junit5/pull/4913,junit-platform-launcher/src/main/java/org/junit/platform/launcher/TestIdentifier.java,47,"This is no longer the case. Please remove this comment and convert `/* final */` to `final` on all fields.

```suggestion
	private final UniqueId uniqueId;
```",https://github.com/junit-team/junit-framework/pull/4913#discussion_r2329301541,45,style,low,"Now that late initialization during deserialization is gone, the comment ""effectively final but not technically due to late initialization when deserializing"" no longer holds; these fields can be declared `final` and the `/* final */` markers dropped.",matched,Both comments identify the same issue: the `/* final */` markers are now redundant and should be removed because the fields can be declared as `final`.,,,,,
claude-code-subagent__opus__mockito__mockito__3129__match__0,runs/subset30/claude-opus/,match,mockito/mockito,3129,https://github.com/mockito/mockito/pull/3129,src/main/java/org/mockito/plugins/MockitoPlugins.java,58,"This interface can be implemented, meaning that we can break downstream projects. We should add a default implementation and probably also mark this interface with `@NotExtensible`",https://github.com/mockito/mockito/pull/3129#discussion_r1346925228,58,design,medium,Adding an abstract method to this published interface is a source- and binary-incompatible change for anyone who implements `MockitoPlugins` themselves. Consider giving it a `default` implementation (e.g. throwing `UnsupportedOperationException`) so existing implementors keep compiling.,matched,"Both comments identify the same issue: adding a new abstract method to a published interface will break existing implementers, and suggest a default implementation as a solution.",,,,,
claude-code-subagent__opus__checkstyle__checkstyle__20351__unmatched_model__1,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20351,https://github.com/checkstyle/checkstyle/pull/20351,src/test/resources/com/puppycrawl/tools/checkstyle/checks/javadoc/javadoctype/InputJavadocTypeRecordParamDescriptionWithAngularTags.java,,,,82,style,low,The expected message here was shortened to 'missing @param 'c' tag.' while the equivalent comment on line 66 keeps the full 'Type Javadoc comment is missing ...' text. Keeping both in the same form makes these expectations easier to scan.,unmatched,,,,founded,high,"Line 82 visibly uses the shortened 'missing @param 'c' tag.' while line 66 keeps the full 'Type Javadoc comment is missing' form, so the inconsistency the comment describes is present."
claude-code-subagent__opus__checkstyle__checkstyle__20362__unmatched_model__2,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20362,https://github.com/checkstyle/checkstyle/pull/20362,src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/HiddenFieldCheck.java,,,,160,question,medium,"findFirstToken returns null when the token is absent, so mods (and the IDENT lookup on the line above) are dereferenced unguarded. Is MODIFIERS guaranteed present on every VARIABLE_DEF reachable here, including in a compact compilation unit?",unmatched,,,,unverifiable,high,"The unguarded dereferences are visible, but whether MODIFIERS and IDENT are guaranteed present on every VARIABLE_DEF reachable here (and whether findFirstToken can return null in this context) depends on AST API guarantees the chunk does not show."
claude-code-subagent__opus__checkstyle__checkstyle__20537__unmatched_model__10,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20537,https://github.com/checkstyle/checkstyle/pull/20537,src/test/resources/com/puppycrawl/tools/checkstyle/checks/coding/unusedlocalvariable/InputUnusedLocalVariableAllowNamedPatternVariablesInstanceOf.java,,,,42,style,low,The `switch` block in `traditionalSwitchRecord` is indented at 4 spaces (and its closing brace at 4) instead of the 8/4 nesting used everywhere else in this file; re-indent the method body.,unmatched,,,,founded,high,"Line 42's switch and its closing brace are visibly indented at 4 spaces while other method bodies in the file (e.g. line 21) sit at 8, matching the comment's description."
claude-code-subagent__opus__checkstyle__checkstyle__20537__unmatched_model__4,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20537,https://github.com/checkstyle/checkstyle/pull/20537,src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/UnusedLocalVariableCheck.java,,,,1104,style,low,`instanceof record Destructuring` capitalizes 'Destructuring' mid-sentence; use lowercase 'destructuring' (or 'record deconstruction patterns') to match the surrounding prose.,unmatched,,,,founded,high,"Lines 1104 and 1130 visibly capitalize 'Destructuring' mid-sentence, so the flagged style issue is present."
claude-code-subagent__opus__checkstyle__checkstyle__20537__unmatched_model__5,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20537,https://github.com/checkstyle/checkstyle/pull/20537,src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/UnusedLocalVariableCheck.java,,,,1129,style,low,"The javadoc now describes this as a 'forced-name pattern variable', but the method and its backing field are still named `namedPatternVar`. Either keep the javadoc wording aligned with the member name or rename the member so the accessor is not misleading.",unmatched,,,,founded,high,"The javadoc visibly says 'forced-name pattern variable' while the registrar, accessor, and backing field remain 'namedPatternVar' (lines 1106-1107, 1135-1136), so the described mismatch is real."
claude-code-subagent__opus__checkstyle__checkstyle__20554__unmatched_model__8,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20554,https://github.com/checkstyle/checkstyle/pull/20554,src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/todocomment/Example3.java,,,,52,style,low,"The comment lost the `- below 9-char threshold` explanation it previously carried. That parenthetical was what told the reader why 6 repeated characters do not match `^\s*([*=#])\1{8,}\s*$`; keep it so the negative case still explains itself.",unmatched,,,,founded,high,"The diff visibly shows the removed comment carried '(only 6 chars - below 9-char threshold)' while new line 52 keeps only '(only 6 chars)', and the {8,} regex at line 6 confirms the dropped parenthetical explained the negative case."
claude-code-subagent__opus__checkstyle__checkstyle__20600__unmatched_model__0,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20600,https://github.com/checkstyle/checkstyle/pull/20600,config/checkstyle-non-main-files-suppressions.xml,,,,321,style,low,The `files` attribute is indented with 12 spaces while every other `suppress` entry in this file continues at 9 spaces. Align it with the surrounding entries.,unmatched,,,,founded,high,Line 321's files attribute is visibly indented deeper (12 spaces) than the 9-space alignment used by every other suppress entry in the chunk.
claude-code-subagent__opus__checkstyle__checkstyle__20600__unmatched_model__13,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20600,https://github.com/checkstyle/checkstyle/pull/20600,src/test/java/com/puppycrawl/tools/checkstyle/checks/MultilineCommentLeadingAsteriskPresenceCheckTest.java,,,,94,style,low,The name testNotMultilineComment does not describe what is verified here - the input is the Javadoc input file and the expectation is that Javadoc comments are ignored. Something like testJavadocCommentIgnored would read better.,unmatched,,,,unverifiable,low,"The mismatch between the test name and the Javadoc input filename is visible, but whether the test actually verifies that Javadoc comments are ignored depends on the input file's content, which the chunk does not show."
claude-code-subagent__opus__checkstyle__checkstyle__20600__unmatched_model__17,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20600,https://github.com/checkstyle/checkstyle/pull/20600,src/test/resources/com/puppycrawl/tools/checkstyle/checks/multilinecommentleadingasteriskpresence/InputMultilineCommentLeadingAsteriskPresenceCorrect.java,,,,5,question,low,"This input is named `...Correct` but still declares two expected violations, both coming from the config header block at lines 1-4 rather than from the code under test. Is that intended? A file meant to demonstrate correct usage would be clearer if it produced no violations at all.",unmatched,,,,founded,high,"Lines 5-6 visibly declare two expected violations pointing into the config header block (lines 1-4) of a file named Correct whose code comments all carry leading asterisks, exactly as the comment states."
claude-code-subagent__opus__checkstyle__checkstyle__20600__unmatched_model__8,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20600,https://github.com/checkstyle/checkstyle/pull/20600,src/site/xdoc/checks/misc/multilinecommentleadingasteriskpresence.xml,,,,43,style,medium,"The example is self-contradictory: both lines of this comment are labelled ""Line with leading asterisk"", but neither actually has a leading asterisk - that is precisely why the violation is reported. The text should say ""without leading asterisk"".",unmatched,,,,founded,low,"Line 44 visibly lacks a leading asterisk yet is labelled 'Line with leading asterisk' and is where the violation points, so the example is contradictory, though the claim that neither line has one is debatable for the opening line 43."
claude-code-subagent__opus__checkstyle__checkstyle__20604__unmatched_model__1,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20604,https://github.com/checkstyle/checkstyle/pull/20604,src/test/java/com/puppycrawl/tools/checkstyle/internal/XdocsExamplesAstConsistencyTest.java,,,,193,style,low,The entries of this `Set.of(...)` are indented with 12 spaces while the entries of the set declared just above use 8. Pick one continuation indent for both so the two adjacent constants read consistently.,unmatched,,,,founded,high,"The entries at lines 195-216 are visibly indented 12 spaces while the adjacent set's entries at lines 136-186 use 8, as the comment states."
claude-code-subagent__opus__checkstyle__checkstyle__20717__unmatched_model__2,runs/subset30/claude-opus/,unmatched_model,checkstyle/checkstyle,20717,https://github.com/checkstyle/checkstyle/pull/20717,src/test/java/com/puppycrawl/tools/checkstyle/checks/design/InnerTypeLastCheckTest.java,,,,167,question,low,"The two tests above read their inputs from the `compact/` subdirectory, but this one reads from the parent non-compilable directory. Is the empty input unrelated to compact source files? If it is part of the same scenario it would be easier to follow next to the others.",unmatched,,,,founded,high,"Lines 150 and 159 visibly load inputs from 'compact/' while line 167 loads from the parent directory, so the observed inconsistency is real."
claude-code-subagent__opus__junit-team__junit5__4609__unmatched_model__3,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,4609,https://github.com/junit-team/junit5/pull/4609,junit-jupiter-migrationsupport/src/main/java/org/junit/jupiter/migrationsupport/rules/VerifierSupport.java,,,,39,design,medium,"The recommended replacement does not match this extension's own semantics: VerifierSupport implements AfterEachCallback (line 44), so verification runs after @AfterEach teardown, while AfterTestExecutionCallback fires before it. Users following this advice would get a different ordering than the rule they are migrating from. Did you mean AfterEachCallback?",unmatched,,,,unverifiable,low,"The class visibly implements AfterEachCallback while the deprecation tag recommends AfterTestExecutionCallback, but whether those callbacks differ in ordering relative to @AfterEach teardown depends on JUnit lifecycle semantics not shown in the chunk."
claude-code-subagent__opus__junit-team__junit5__4751__unmatched_model__0,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,4751,https://github.com/junit-team/junit5/pull/4751,documentation/src/docs/asciidoc/user-guide/writing-tests.adoc,,,,2502,question,low,"The removed note was the only place describing the `iso_639` conversion format for `Locale`. Should the guide say something about how users who relied on that format can keep the old behavior (e.g. a custom `@ConvertWith` converter), rather than dropping the paragraph entirely?",unmatched,,,,unverifiable,low,"The removal of the iso_639 note is visible, but the claim that it was the only place describing that format, and whether migration guidance exists elsewhere in the guide, cannot be checked from this chunk."
claude-code-subagent__opus__junit-team__junit5__4751__unmatched_model__2,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,4751,https://github.com/junit-team/junit5/pull/4751,junit-jupiter-params/src/main/java/org/junit/jupiter/params/converter/DefaultArgumentConverter.java,,,,87,question,low,"With the format switch gone, this branch unconditionally does `Locale.forLanguageTag(...)`. Is the special case still needed here, or does the delegation to `convert(string, targetType, classLoader)` below already handle `Locale` the same way?",unmatched,,,,unverifiable,high,"Whether the delegated convert(...)/ConversionSupport path already handles Locale the same way is exactly what the chunk does not show, so the question cannot be settled here."
claude-code-subagent__opus__junit-team__junit5__4751__unmatched_model__5,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,4751,https://github.com/junit-team/junit5/pull/4751,jupiter-tests/src/test/kotlin/org/junit/jupiter/params/aggregator/ArgumentsAccessorKotlinTests.kt,,,,57,style,low,"`context` is no longer passed to `DefaultArgumentsAccessor.create(...)`, so this mock is now unused and can be removed.",unmatched,,,,founded,high,"After the change at line 59 the mocked context created at line 57 is visibly unused anywhere in the function, so the removal suggestion applies."
claude-code-subagent__opus__junit-team__junit5__5042__unmatched_model__17,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,platform-tooling-support-tests/projects/junit-start/compact/JUnitRunClass.java,,,,18,style,low,"Typo in the test method name: `substraction` should be `subtraction` (the failure message on the next line spells it correctly). Test method names show up verbatim in reports, so the misspelling is user-visible.",unmatched,,,,founded,high,"Line 18 visibly spells the method 'substraction' while the message on line 19 spells 'Subtraction' correctly, so the typo claim is accurate."
claude-code-subagent__opus__junit-team__junit5__5042__unmatched_model__18,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,platform-tooling-support-tests/projects/junit-start/modular/module-info.java,,,,11,style,low,The module name `m` is not descriptive. Even for a fixture project a name such as `junit.start.modular.tests` (or something matching the package `p`) makes the test output and any `--add-modules`/`--module-path` diagnostics easier to read.,unmatched,,,,founded,low,"The module is visibly named just 'm', so the readability observation holds, though the referenced package 'p' is not visible in this chunk."
claude-code-subagent__opus__junit-team__junit5__5042__unmatched_model__24,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/JUnitStartTests.java,,,,106,style,low,"File prefix `""junit-run-Module""` is inconsistently capitalized compared to `""junit-run""` and `""junit-run-class""`; use `""junit-run-module""`.",unmatched,,,,founded,high,"Lines 76, 91, and 106 visibly show 'junit-run', 'junit-run-class', and 'junit-run-Module', so the capitalization inconsistency is real."
claude-code-subagent__opus__junit-team__junit5__5042__unmatched_model__6,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,junit-platform-commons/src/main/java/org/junit/platform/commons/util/ModuleUtils.java,,,,260,style,low,"This filter uses `endsWith` on the full binary name while the `module-info` filter above uses an exact match. Checking the last segment (`endsWith("".package-info"")` or an equality check) would be symmetric and would not match a name that merely happens to end with that text.",unmatched,,,,founded,high,"Line 259 visibly uses an exact equals match while line 260 uses endsWith on the full name, which would also match a class name merely ending in that text, so both the asymmetry and the risk are present."
