judgment_id,run,kind,repo,pr_number,pr_url,file,human_line,human_comment,human_url,model_line,model_category,model_severity,model_comment,pipeline_verdict,judge_reason,human_verdict,human_notes,model_verdict,model_confidence,model_reason
anthropic__claude-sonnet-5__mockito__mockito__3129__match__0,runs/subset30/claude-sonnet-5/,match,mockito/mockito,3129,https://github.com/mockito/mockito/pull/3129,src/main/java/org/mockito/plugins/MockitoPlugins.java,58,"This interface can be implemented, meaning that we can break downstream projects. We should add a default implementation and probably also mark this interface with `@NotExtensible`",https://github.com/mockito/mockito/pull/3129#discussion_r1346925228,58,question,medium,"This adds a new abstract method to a public interface with no default implementation. If any external code implements MockitoPlugins directly, this is a breaking change for them — is that acceptable here, or should this get a default method for compatibility?",matched,Both comments identify the same issue: adding a new abstract method to a public interface without a default implementation creates a breaking change for downstream consumers.,,,,,
anthropic__claude-sonnet-5__checkstyle__checkstyle__20537__unmatched_model__0,runs/subset30/claude-sonnet-5/,unmatched_model,checkstyle/checkstyle,20537,https://github.com/checkstyle/checkstyle/pull/20537,src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/UnusedLocalVariableCheck.java,,,,198,style,low,"Mid-sentence capitalization of 'Destructuring' in ""instanceof record Destructuring"" looks like a typo; should be lowercase to match the surrounding sentence.",unmatched,,,,founded,high,"Line 198 visibly capitalizes ""Destructuring"" mid-sentence, inconsistent with the surrounding lowercase prose."
anthropic__claude-sonnet-5__checkstyle__checkstyle__20537__unmatched_model__2,runs/subset30/claude-sonnet-5/,unmatched_model,checkstyle/checkstyle,20537,https://github.com/checkstyle/checkstyle/pull/20537,src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/UnusedLocalVariableCheck.java,,,,452,style,low,"Javadoc wording is awkward: ""declared in a switch labels and instanceof"" has a singular/plural mismatch and doesn't clearly convey that record-pattern destructuring inside instanceof is also covered. Consider rewording, e.g. 'declared in a switch label or as part of instanceof record-pattern destructuring'.",unmatched,,,,founded,high,"Line 452 visibly reads ""declared in a switch labels and instanceof"", which has the singular/plural mismatch and unclear wording the comment describes."
anthropic__claude-sonnet-5__checkstyle__checkstyle__20600__unmatched_model__1,runs/subset30/claude-sonnet-5/,unmatched_model,checkstyle/checkstyle,20600,https://github.com/checkstyle/checkstyle/pull/20600,config/linkcheck-suppressions.txt,,,,543,question,medium,"This entry's href has no package subdirectory (`checks/MultilineCommentLeadingAsteriskPresenceCheck.html`), while every neighboring entry includes one (`checks/metrics/...`, `checks/modifier/...`, `checks/naming/...`). Is this check really generated directly under `checks/`, or is a package segment (e.g. `misc/`) missing so this suppression won't actually match the real broken link?",unmatched,,,,unverifiable,high,"Whether this check's class really lives directly under checks/ or in a subpackage cannot be determined from this suppressions-file chunk, which shows only other entries' paths."
anthropic__claude-sonnet-5__checkstyle__checkstyle__20600__unmatched_model__9,runs/subset30/claude-sonnet-5/,unmatched_model,checkstyle/checkstyle,20600,https://github.com/checkstyle/checkstyle/pull/20600,src/site/xdoc/checks/misc/multilinecommentleadingasteriskpresence.xml.template,,,,32,bug,low,"Duplicate slash in the resource path: "".../multilinecommentleadingasteriskpresence//Example1.java"" (double `//` before the filename), while the ""config"" example macro just above (line 25) uses a single slash for the same directory. Looks like a copy-paste typo.",unmatched,,,,founded,high,Line 32 visibly contains a double slash before Example1.java while the config macro at line 25 uses a single slash for the same directory.
anthropic__claude-sonnet-5__checkstyle__checkstyle__21086__unmatched_model__0,runs/subset30/claude-sonnet-5/,unmatched_model,checkstyle/checkstyle,21086,https://github.com/checkstyle/checkstyle/pull/21086,src/main/resources/com/puppycrawl/tools/checkstyle/checks/javadoc/messages_pt.properties,,,,25,style,low,"This new translation is missing the trailing period that the English source (""...pattern ''{1}''."") and every other message in this file end with: ""...deveria condizer com o padrão ''{1}''"" has no closing ""."".",unmatched,,,,founded,low,"Line 25 visibly lacks a trailing period and most messages in the file end with one, but the claim that every other message does is contradicted by lines 22, 26, and 30, and the English source is not shown."
anthropic__claude-sonnet-5__junit-team__junit5__4609__unmatched_model__0,runs/subset30/claude-sonnet-5/,unmatched_model,junit-team/junit5,4609,https://github.com/junit-team/junit5/pull/4609,junit-jupiter-migrationsupport/src/main/java/org/junit/jupiter/migrationsupport/conditions/package-info.java,,,,2,design,low,"This package's javadoc is now described as ""<em>Deprecated</em>"" in prose, but no @Deprecated annotation is added to the package declaration itself. Consider annotating the package with @Deprecated so the deprecation is picked up consistently by tooling (javadoc's deprecated-API index, IDE warnings on imports from this package), matching the classes inside it that are being marked @Deprecated.",unmatched,,,,founded,high,"The javadoc now visibly says ""Deprecated"" in prose while the package declaration carries only @NullMarked and no @Deprecated annotation, so the suggested change really would apply."
anthropic__claude-sonnet-5__junit-team__junit5__5042__unmatched_model__1,runs/subset30/claude-sonnet-5/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,junit-platform-commons/src/main/java/org/junit/platform/commons/util/ExceptionUtils.java,,,,144,design,low,This new `else if` branch duplicates the body of the following `JUNIT_PLATFORM_LAUNCHER_PACKAGE_PREFIX` branch (`prunedStackTrace.clear();`). Consider combining the two conditions with `||` to avoid the duplication.,unmatched,,,,founded,high,"The new else-if on lines 144-146 visibly has the identical body (prunedStackTrace.clear();) as the following branch on lines 147-149, so combining the conditions with || would apply."
anthropic__claude-sonnet-5__junit-team__junit5__5042__unmatched_model__4,runs/subset30/claude-sonnet-5/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,platform-tooling-support-tests/src/test/java/platform/tooling/support/HelperTests.java,,,,39,bug,medium,"""junit-start"" is inserted between ""junit-jupiter-params"" and ""junit-platform-commons"", breaking the otherwise strict alphabetical ordering of every other entry in this list. If Helper.loadModuleDirectoryNames() returns names in sorted order, this expected list won't match the actual order and assertLinesMatch will fail; alphabetically ""junit-start"" belongs after all the junit-platform-* entries, right before junit-vintage-engine.",unmatched,,,,founded,high,"The list is visibly alphabetical apart from ""junit-start"", which sorts after the junit-platform-* entries and before junit-vintage-engine, not where it was inserted."
anthropic__claude-sonnet-5__junit-team__junit5__5042__unmatched_model__5,runs/subset30/claude-sonnet-5/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/JUnitStartTests.java,,,,42,question,low,"Projects.JUNIT_start doesn't follow the ALL_CAPS naming convention normally used for Java constant fields. Is the mixed-case name intentional, or should it be JUNIT_START?",unmatched,,,,founded,high,"Line 42 visibly references the statically accessed mixed-case name Projects.JUNIT_start, which departs from the ALL_CAPS constant naming convention."
anthropic__claude-sonnet-5__junit-team__junit5__5042__unmatched_model__8,runs/subset30/claude-sonnet-5/,unmatched_model,junit-team/junit5,5042,https://github.com/junit-team/junit5/pull/5042,platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/Projects.java,,,,24,style,low,"Constant name JUNIT_start doesn't follow the ALL_CAPS naming convention used by every other constant in this class (e.g. JAR_DESCRIBE_MODULE, JUPITER_STARTER, KOTLIN_COROUTINES). Should be JUNIT_START.",unmatched,,,,founded,high,Line 24's JUNIT_start visibly breaks the ALL_CAPS convention followed by every other constant in the chunk.
anthropic__claude-sonnet-5__junit-team__junit5__5060__unmatched_model__6,runs/subset30/claude-sonnet-5/,unmatched_model,junit-team/junit5,5060,https://github.com/junit-team/junit5/pull/5060,junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/ConcurrentHierarchicalTestExecutorService.java,,,,470,design,low,"Entry.incrementAttempts() builds a new Entry via the canonical constructor, which re-registers a future.whenComplete(...) logging callback (line 459) on the same underlying future each time. When a task is stolen and requeued more than once, this leaves duplicate callbacks on the future, producing duplicate ""completed normally/exceptionally"" trace log lines when it finally completes.",unmatched,,,,founded,high,"incrementAttempts() visibly passes the same future into the canonical constructor, whose compact body (line 459) registers another whenComplete logging callback each time, so repeated requeuing accumulates duplicate trace callbacks."
anthropic__claude-sonnet-5__mockito__mockito__2603__unmatched_model__0,runs/subset30/claude-sonnet-5/,unmatched_model,mockito/mockito,2603,https://github.com/mockito/mockito/pull/2603,subprojects/junit-jupiter/src/test/java/org/mockitousage/InjectMocksTest.java,,,,35,design,low,"Null-checking constructor arguments with Java's `assert` keyword relies on JVM assertions being enabled (-ea); since they're disabled by default, this check (and the ones at lines 45-46) silently does nothing in a typical run and doesn't actually guard against null mocks.",unmatched,,,,founded,low,"The chunk shows null checks implemented with `assert` at lines 35/45-46, and Java asserts are indeed no-ops unless -ea is enabled, though whether this project's test runs enable assertions is not visible."
