judgment_id,run,kind,repo,pr_number,pr_url,file,human_line,human_comment,human_url,model_line,model_category,model_severity,model_comment,pipeline_verdict,judge_reason,human_verdict,human_notes,model_verdict,model_confidence,model_reason
qwen__qwen3-coder-30b-a3b-instruct__mockito__mockito__2650__match__0,runs/subset30/qwen3-coder-30b-a3b-instruct/,match,mockito/mockito,2650,https://github.com/mockito/mockito/pull/2650,src/test/java/org/mockitousage/strictness/StrictnessMockAnnotationTest.java,39,"Nit: I think we can use a lambda here, can we not?

```java
() -> ProductionCode.simpleMethod(regularMock, ""4"")
```",https://github.com/mockito/mockito/pull/2650#discussion_r882658824,38,style,low,The test uses an anonymous inner class for ThrowableAssert.ThrowingCallable. Consider using a lambda expression for better readability.,matched,Both comments suggest using a lambda expression instead of an anonymous inner class for improved readability on the same test code.,,,,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20351__unmatched_model__10,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20351,https://github.com/checkstyle/checkstyle/pull/20351,src/test/java/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocTypeCheckTest.java,,,,432,style,low,Quoted parameter name in error message for missing tag,unmatched,,,,founded,high,"The diff at line 432 does show the missing-tag message now quoting the parameter name ('myInt'), which is what the comment states."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20351__unmatched_model__13,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20351,https://github.com/checkstyle/checkstyle/pull/20351,src/test/resources/com/puppycrawl/tools/checkstyle/checks/javadoc/javadoctype/InputJavadocTypeRecordComponentNameMismatch2.java,,,,24,style,low,"The error message now includes quotes around the parameter name, which improves clarity and consistency with typical Java documentation conventions.",unmatched,,,,founded,high,"Line 24 visibly changes the expected message to quote 'value', matching the comment's factual claim; the clarity judgment is opinion on a true change."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20351__unmatched_model__15,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20351,https://github.com/checkstyle/checkstyle/pull/20351,src/test/resources/com/puppycrawl/tools/checkstyle/checks/javadoc/javadoctype/InputJavadocTypeRecordComponents2.java,,,,78,style,low,The error message format for missing @param tag has been updated to include quotes around the parameter name for better clarity.,unmatched,,,,founded,high,"Line 78's expected violation message visibly changes from @param X to @param 'X', exactly the update the comment describes."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20351__unmatched_model__16,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20351,https://github.com/checkstyle/checkstyle/pull/20351,src/test/resources/com/puppycrawl/tools/checkstyle/checks/javadoc/javadoctype/InputJavadocTypeRecordParamDescriptionWithAngularTags.java,,,,66,style,low,Inconsistent phrasing in violation message: 'Type Javadoc comment is missing @param 'a' tag.' vs previous examples using 'missing @param 'a' tag.',unmatched,,,,founded,low,"The chunk really does mix phrasings ('Type Javadoc comment is missing @param ... tag.' at 59/66 vs 'missing @param 'c' tag.' at 82), though the comment misattributes the short form to previous examples."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20351__unmatched_model__8,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20351,https://github.com/checkstyle/checkstyle/pull/20351,src/test/java/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocTypeCheckTest.java,,,,428,style,low,Quoted parameter name in error message for missing tag,unmatched,,,,founded,high,"Line 428 visibly changes the expected message to quote 'myList', matching the comment's statement."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20362__unmatched_model__11,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20362,https://github.com/checkstyle/checkstyle/pull/20362,src/test/resources-noncompilable/com/puppycrawl/tools/checkstyle/checks/coding/hiddenfield/InputHiddenFieldCompactSourceFileStaticFieldAndMethod.java,,,,17,bug,high,"The test case uses a static method 'process' with a parameter named 'name' that shadows a static field 'name'. This should trigger a HiddenField violation, but the test file is marked as non-compilable with javac, which may prevent proper validation of the violation.",unmatched,,,,unverifiable,low,"The static field/parameter shadowing description matches the visible code, but whether the resources-noncompilable placement prevents the violation from being validated depends on test infrastructure not in the chunk."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20362__unmatched_model__4,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20362,https://github.com/checkstyle/checkstyle/pull/20362,src/test/java/com/puppycrawl/tools/checkstyle/checks/coding/HiddenFieldCheckTest.java,,,,696,design,medium,These new test methods for compact constructors and records lack descriptive comments explaining the specific scenarios they cover.,unmatched,,,,founded,low,"The new test methods at lines 686-721 visibly carry no explanatory comments, though they cover compact source files rather than 'compact constructors and records' as the comment says."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20362__unmatched_model__6,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20362,https://github.com/checkstyle/checkstyle/pull/20362,src/test/resources-noncompilable/com/puppycrawl/tools/checkstyle/checks/coding/hiddenfield/InputHiddenFieldCompactSourceFile.java,,,,15,style,low,Consider using more descriptive variable names than 'name' and 'count' to avoid potential hidden field issues,unmatched,,,,unfounded,high,"The chunk shows this is a HiddenField test input whose config header and '// 2 violations' marker make the shadowing deliberate, so renaming to 'avoid hidden field issues' flags a problem the fixture intentionally exhibits."
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20537__unmatched_model__14,runs/subset30/qwen3-coder-30b-a3b-instruct/,unmatched_model,checkstyle/checkstyle,20537,https://github.com/checkstyle/checkstyle/pull/20537,src/test/resources/com/puppycrawl/tools/checkstyle/checks/coding/unusedlocalvariable/InputUnusedLocalVariableAllowNamedPatternVariables.java,,,,21,style,low,The variable 'ignored' is unused but follows the convention of using 'ignored' for pattern variables. Consider if this is intentional or if the variable should be named differently to indicate its purpose.,unmatched,,,,unfounded,low,"The visible '// violation, Unused local variable' marker on line 21 shows the unused variable is an intentional test fixture, contradicting the comment's doubt about whether it is intentional."
